"Action", "Shortcut"

"CREATE AND EDIT"
"Show Context Actions","⌥⏎"
"Basic Code Completion","⌃Space"
"Smart Code Completion","⌃⇧Space"
"Type Name Completion","⌃⌥Space"
"Complete Statement","⇧⌘⏎"
"Parameter Information","⌘P"
"Quick Definition","⌘Y"
"Quick/External Documentation","⌘I / ⇧F1"
"Generate…","⌘N"
"Override/Implement Members","⌃⇧O / ⌃⇧I"
"Surround With…","⌥⌘T"
"Unwrap/Remove…","⇧⌘⌦"
"Comment with Line/Block Comment","⌘/ / ⌥⌘/"
"Extend/Shrink Selection","⌥↑ / ⌥↓"
"Context Info","⌃⇧Q"
"Optimize Imports","⌃⌥O"
"Auto-Indent Lines","⌃⌥I"
"Cut/Copy/Paste","⌘X / ⌘C / ⌘V"
"Copy Document Path","⇧⌘C"
"Paste from Clipboard History","⇧⌘V"
"Duplicate Current Line or Selection","⌘D"
"Move Line Up/Down","⌥⇧↑ / ⌥⇧↓"
"Move Statement Up/Down","⌃⇧↑ / ⌃⇧↓"
"Move Element Right/Left","⌥⇧⌘→ / ⌥⇧⌘←"
"Delete Line at Caret","⌘⌫"
"Join/Split Line","⌃⇧J / ⌃O"
"New Line Above/Below","⌥⌘⏎ / ⇧⏎"
"Toggle Case","⇧⌘U"
"Expand/Collapse Code Block","⌘+ / ⌘-"
"Save All","⌘S"

"ANALYZE AND EXPLORE"
"Problems Tool Window","⌘6"
"Show Error Description","⌘F1"
"Next/Previous Highlighted Error","⌃, / ⌃⇧,"
"Run Inspection by Name…","⌥⇧⌘I"
"Type Hierarchy","⌃⌥H"
"Method Hierarchy","⇧⌘H"
"Call Hierarchy","⌃⇧H"

"VERSION CONTROL"
"VCS Operations Popup…","⌃C"
"Commit…","⌘K"
"Update Project","⌘T"
"Recent Changes","⌥⇧C"
"Rollback…","⌥⌘Z"
"Push…","⇧⌘K"
"Next/Previous Change","⌃⌥⇧↓ / ⌃⌥⇧↑"
"Commit/Version Control Tool Window","⌘0"

"MASTER YOUR IDE"
"Find Action…","⇧⌘P"
"Project/Explorer Tool Window","⌘1"
"Add New File","⌘N"
"Reload All from Disk","⌃⌘Y"
"Toggle Full Screen Mode","⌃⌘F"
"Quick Switch Scheme…","⌃`"
"Settings…","⌘,"
"Project Structure…","⇧⌘,"
"Jump to Source","F4"
"Jump to Last Tool Window","F12"
"Hide Active/All Tool Windows","⇧⎋ / ⇧⌘F12"
"Go to Next/Previous Editor Tab","⌥⌘→ / ⌥⌘←"
"Go to Editor (from a Tool Window)","⎋"
"Close Active Editor Tab","⌘W"

"FIND EVERYTHING"
"Search Everywhere","Double Shift"
"Find/Replace in File","⌘F / ⌘R"
"Find/Replace in Project","⇧⌘F / ⇧⌘R"
"Go to Class","⌘O"
"Go to File Member","⇧⌘7"
"Go to File","⇧⌘O"
"Go to Symbol","⌥⌘O"
"Go to Text","⌃⌥⇧E"

"NAVIGATE FROM SYMBOLS"
"Go to Declaration or Usages","⌘B"
"Go to Type Declaration","⇧⌘B"
"Go to Base/Derived Symbols","⌘U / ⌥⌘B"
"Find Usages","⌃U"
"Highlight Usages in File","⌃⌘U"
"Show Usages","⌃⌥U"

"NAVIGATE CONTEXT"
"Select In…","⌃Q"
"Switcher","⌃⇥"
"Recently Viewed/Changed Files","⌘E"
"Last Edit Location","⇧⌘⌫"
"Navigate Back/Forward","⌘[ / ⌘]"
"Next/Previous method","⌃⌥↓ / ⌃⌥↑"
"Go to Line:Column…","⌘L"
"Go to Code Block End/Start","⌥⌘] / ⌥⌘["
"Next/Previous Occurrence","⌘G / ⇧⌘G"
"Toggle Bookmark","⌃⇧K"
"Toggle Bookmark with Mnemonic","⌃⌥⇧K"
"Go to Numbered Bookmark","Ctrl+[0-9]"
"Show Bookmarks…","⌃⌘K"
"Find Tool Window","⌘3"
"Bookmarks Tool Window","⌘2"
"Structure Tool Window","⌘7"

"ML-POWERED ASSISTANCE"
"Inline Completion","⌥⇧\"

"BUILD, RUN, AND DEBUG"
"Build Project","⌃⌘B"
"Rebuild","⇧⌘F9"
"Run Anything","Double Ctrl"
"Run context configuration","⌃⇧R"
"Run/Debug Selected Configuration","⌃⌥R / ⌃⌥D"
"Run/Debug Current Configuration","⌥⇧R / ⌥⇧D"
"Step Over","⌘'"
"Step Into","⌘;"
"Smart Step Into","⌥⌘;"
"Step Out","⌘\"
"Run to Cursor","⌃⇧\"
"Force Run to Cursor","⌃⌥⇧\"
"Show Execution Point","⌥F10"
"Evaluate Expression…","⌃⌘L"
"Stop","⌃⇧."
"Resume Program","⌃\"
"Toggle Line Breakpoint","⌃'"
"Toggle Temporary Line Breakpoint","⌥⇧⌘\"
"Edit Breakpoint","⇧⌘F8"
"View Breakpoints…","⇧⌘F8"
"Run/Debug Tool Window","⌘4 / ⌘5"
"Services Tool Window","⌘8"

"UNIT TESTS"
"Rerun Tests","⌃⌘R"
"Recent Tests","⇧⌘;"
"Go to Test","⌃⇧T"
"Manage Coverage Reports…","⌥⌘F6"
"Unit Tests Tool Window","⌥⌘8"

"REFACTOR AND CLEAN UP"
"Refactor This…","⌃S"
"Copy…","⌥⌘Y"
"Move…","⌥⌘I"
"Safe Delete…","⌘⌦"
"Rename…","⌥⌘R"
"Change Signature…","⌥⌘S"
"Inline…","⌥⌘N"
"Extract Method","⌥⌘M"
"Introduce Variable","⌥⌘V"
"Introduce Field","⌥⌘F"
"Introduce Constant","⌥⌘C"
"Introduce Parameter","⌥⌘P"
"Reformat Code","⌥⌘L"
