"Action", "Shortcut"

"CREATE AND EDIT"
"Show Context Actions","⌥⏎"
"Basic Code Completion","⌃Space"
"Smart Code Completion","⌃⇧Space"
"Type Name Completion","⌃⌥Space"
"Complete Statement","⇧⌘⏎"
"Parameter Information","⌘P"
"Quick Definition","⌥Space"
"Quick/External Documentation","F1 / ⇧F1"
"Generate…","⌘N"
"Override/Implement Members","⌃O / ⌃I"
"Surround With…","⌥⌘T"
"Unwrap/Remove…","⇧⌘⌦"
"Comment with Line/Block Comment","⌘/ / ⌥⌘/"
"Extend/Shrink Selection","⌥↑ / ⌥↓"
"Context Info","⌃⇧Q"
"Optimize Imports","⌃⌥O"
"Auto-Indent Lines","⌃⌥I"
"Cut/Copy/Paste","⌘X / ⌘C / ⌘V"
"Copy Document Path","⇧⌘C"
"Paste from Clipboard History","⇧⌘V"
"Duplicate Current Line or Selection","⌘D"
"Move Line Up/Down","⌥⇧↑ / ⌥⇧↓"
"Move Statement Up/Down","⇧⌘↑ / ⇧⌘↓"
"Move Element Right/Left","⌥⇧⌘→ / ⌥⇧⌘←"
"Delete Line at Caret","⌘⌫"
"Join/Split Line","⌃⇧J / ⌘⏎"
"New Line Above/Below","⌥⌘⏎ / ⇧⏎"
"Toggle Case","⇧⌘U"
"Expand/Collapse Code Block","⌘  / ⌘-"
"Save All","⌘S"

"ANALYZE AND EXPLORE"
"Problems Tool Window","⌘6"
"Show Error Description","⌘F1"
"Next/Previous Highlighted Error","F2 / ⇧F2"
"Run Inspection by Name…","⌥⇧⌘I"
"Type Hierarchy","⌃H"
"Method Hierarchy","⇧⌘H"
"Call Hierarchy","⌃⌥H"

"VERSION CONTROL"
"VCS Operations Popup…","⌃V"
"Commit…","⌘K"
"Update Project","⌘T"
"Recent Changes","⌥⇧C"
"Rollback…","⌥⌘Z"
"Push…","⇧⌘K"
"Next/Previous Change","⌃⌥⇧↓ / ⌃⌥⇧↑"
"Commit/Version Control Tool Window","⌘0"

"MASTER YOUR IDE"
"Find Action…","⇧⌘A"
"Project/Explorer Tool Window","⌘1"
"Add New File","⌘N"
"Reload All from Disk","⌥⌘Y"
"Toggle Full Screen Mode","⌃⌘F"
"Quick Switch Scheme…","⌃`"
"Settings…","⌘,"
"Project Structure…","⌘;"
"Jump to Source","⌘↓"
"Jump to Last Tool Window","F12"
"Hide Active/All Tool Windows","⇧⎋ / ⇧⌘F12"
"Go to Next/Previous Editor Tab","⇧⌘] / ⇧⌘["
"Go to Editor (from a Tool Window)","⎋"
"Close Active Editor Tab","⌘W"

"FIND EVERYTHING"
"Search Everywhere","Double ⇧"
"Find/Replace in File","⌘F / ⌘R"
"Find/Replace in Project","⇧⌘F / ⇧⌘R"
"Go to Class","⌘O"
"Go to File Member","⌘F12"
"Go to File","⇧⌘O"
"Go to Symbol","⌥⌘O"
"Go to Text","⌥⇧⌘E"

"NAVIGATE FROM SYMBOLS"
"Go to Declaration or Usages","⌘B"
"Go to Type Declaration","⇧⌘B"
"Go to Base/Derived Symbols","⌘U / ⌥⌘B"
"Find Usages","⌥F7"
"Highlight Usages in File","⇧⌘F7"
"Show Usages","⌥⌘F7"

"NAVIGATE CONTEXT"
"Select In…","⌥F1"
"Switcher","⌃⇥"
"Recently Viewed/Changed Files","⌘E"
"Last Edit Location","⇧⌘⌫"
"Navigate Back/Forward","⌘[ / ⌘]"
"Next/Previous method","⌃⇧↓ / ⌃⇧↑"
"Go to Line:Column…","⌘L"
"Go to Code Block End/Start","⌥⌘] / ⌥⌘["
"Next/Previous Occurrence","⌘G / ⇧⌘G"
"Toggle Bookmark","F3"
"Toggle Bookmark with Mnemonic","⌥F3"
"Go to Numbered Bookmark","^ [0-9]"
"Show Bookmarks…","⌘F3"
"Find Tool Window","⌘3"
"Bookmarks Tool Window","⌘2"
"Structure Tool Window","⌘7"

"ML-POWERED ASSISTANCE"
"Inline Completion","⌥⇧\"

"BUILD, RUN, AND DEBUG"
"Build Project","⌘F9"
"Rebuild","⇧⌘F9"
"Run Anything","Double ^"
"Run context configuration","⌃⇧R"
"Run/Debug Selected Configuration","⌃⌥R / ⌃⌥D"
"Run/Debug Current Configuration","⌃R / ⌃D"
"Step Over","F8"
"Step Into","F7"
"Smart Step Into","⇧F7"
"Step Out","⇧F8"
"Run to Cursor","⌥F9"
"Force Run to Cursor","⌥⌘F9"
"Show Execution Point","⌥F10"
"Evaluate Expression…","⌥F8"
"Stop","⌘F2"
"Resume Program","⌥⌘R"
"Toggle Line Breakpoint","⌘F8"
"Toggle Temporary Line Breakpoint","⌥⇧⌘F8"
"Edit Breakpoint","⇧⌘F8"
"View Breakpoints…","⇧⌘F8"
"Run/Debug Tool Window","⌘4 / ⌘5"
"Services Tool Window","⌘8"

"UNIT TESTS"
"Rerun Tests","⌃⌘R"
"Recent Tests","⇧⌘;"
"Go to Test","⇧⌘T"
"Manage Coverage Reports…","⌥⌘F6"
"Unit Tests Tool Window","⌥⌘8"

"REFACTOR AND CLEAN UP"
"Refactor This…","⌃T"
"Copy…","F5"
"Move…","F6"
"Safe Delete…","⌘⌦"
"Rename…","⇧F6"
"Change Signature…","⌘F6"
"Inline…","⌥⌘N"
"Extract Method","⌥⌘M"
"Introduce Variable","⌥⌘V"
"Introduce Field","⌥⌘F"
"Introduce Constant","⌥⌘C"
"Introduce Parameter","⌥⌘P"
"Reformat Code","⌥⌘L"
